date,draw_no,n1,n2,n3,n4,n5,n6,numbers
2021-01-03,1,8,14,15,20,27,37,8 14 15 20 27 37
2021-01-05,2,2,9,14,35,39,49,2 9 14 35 39 49
2021-01-07,3,19,23,24,28,30,57,19 23 24 28 30 57
2021-01-10,4,10,24,27,33,35,40,10 24 27 33 35 40
2021-01-12,5,21,27,32,51,54,55,21 27 32 51 54 55
2021-01-14,6,15,22,38,41,45,51,15 22 38 41 45 51
2021-01-17,7,1,5,7,8,15,16,1 5 7 8 15 16
2021-01-19,8,8,11,15,23,25,42,8 11 15 23 25 42
2021-01-21,9,22,29,39,46,48,60,22 29 39 46 48 60
2021-01-24,10,9,11,13,26,29,32,9 11 13 26 29 32
2021-01-26,11,11,25,33,38,51,56,11 25 33 38 51 56
2021-01-28,12,20,22,24,38,45,53,20 22 24 38 45 53
2021-01-30,13,1,7,36,44,46,59,1 7 36 44 46 59
2021-02-02,14,1,9,11,12,23,40,1 9 11 12 23 40
2021-02-04,15,17,40,41,52,57,59,17 40 41 52 57 59
2021-02-07,16,18,26,38,53,57,59,18 26 38 53 57 59
2021-02-09,17,18,25,30,36,44,53,18 25 30 36 44 53
2021-02-11,18,6,15,20,25,54,59,6 15 20 25 54 59
2021-02-14,19,12,23,43,45,48,49,12 23 43 45 48 49
2021-02-16,20,1,8,12,40,52,56,1 8 12 40 52 56
2021-02-17,21,5,17,36,39,49,53,5 17 36 39 49 53
2021-02-18,21,8,16,26,28,44,52,8 16 26 28 44 52
2021-02-21,22,1,10,19,29,49,55,1 10 19 29 49 55
2021-02-23,23,15,17,36,45,52,60,15 17 36 45 52 60
2021-02-25,24,8,11,22,37,40,60,8 11 22 37 40 60
2021-02-28,25,1,9,11,56,59,60,1 9 11 56 59 60
2021-03-02,26,13,35,41,42,48,58,13 35 41 42 48 58
2021-03-04,27,14,19,23,29,39,59,14 19 23 29 39 59
2021-03-07,28,10,17,28,35,42,59,10 17 28 35 42 59
2021-03-09,29,23,32,35,38,41,47,23 32 35 38 41 47
2021-03-11,30,13,30,36,40,43,49,13 30 36 40 43 49
2021-03-14,31,5,22,31,37,38,44,5 22 31 37 38 44
2021-03-16,32,13,21,32,45,57,58,13 21 32 45 57 58
2021-03-18,33,3,9,21,22,48,53,3 9 21 22 48 53
2021-03-21,34,4,6,39,42,43,45,4 6 39 42 43 45
2021-03-23,35,10,18,24,30,32,46,10 18 24 30 32 46
2021-03-25,36,4,6,11,31,42,46,4 6 11 31 42 46
2021-03-28,37,2,3,33,44,50,54,2 3 33 44 50 54
2021-03-30,38,5,21,22,24,44,55,5 21 22 24 44 55
2021-04-01,39,5,22,24,48,50,52,5 22 24 48 50 52
2021-04-04,40,2,15,42,44,48,56,2 15 42 44 48 56
2021-04-06,41,7,32,35,50,52,55,7 32 35 50 52 55
2021-04-08,42,11,14,27,35,48,58,11 14 27 35 48 58
2021-04-11,43,19,31,38,40,53,60,19 31 38 40 53 60
2021-04-13,44,10,39,44,46,48,49,10 39 44 46 48 49
