year,draw_no,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,numbers
2017,808,2,3,18,20,22,29,30,32,33,37,38,39,51,56,57,60,61,63,72,75,77,80,2 3 18 20 22 29 30 32 33 37 38 39 51 56 57 60 61 63 72 75 77 80
2017,809,5,7,8,9,10,11,14,16,22,28,31,33,35,38,50,53,59,65,68,73,76,78,5 7 8 9 10 11 14 16 22 28 31 33 35 38 50 53 59 65 68 73 76 78
2017,810,2,4,9,12,13,15,24,25,26,36,38,39,40,42,43,56,57,58,68,70,74,79,2 4 9 12 13 15 24 25 26 36 38 39 40 42 43 56 57 58 68 70 74 79
2017,811,3,4,16,17,18,21,25,26,30,32,37,40,42,48,50,54,55,56,57,64,67,70,3 4 16 17 18 21 25 26 30 32 37 40 42 48 50 54 55 56 57 64 67 70
2017,812,7,8,14,19,21,30,32,35,36,37,40,43,44,46,47,48,49,53,55,59,63,70,7 8 14 19 21 30 32 35 36 37 40 43 44 46 47 48 49 53 55 59 63 70
2017,813,2,5,10,13,14,17,18,19,23,27,30,41,42,47,50,54,63,66,68,70,73,77,2 5 10 13 14 17 18 19 23 27 30 41 42 47 50 54 63 66 68 70 73 77
2017,814,4,5,7,10,16,21,23,27,30,37,49,52,64,65,67,69,71,73,76,77,78,80,4 5 7 10 16 21 23 27 30 37 49 52 64 65 67 69 71 73 76 77 78 80
2017,815,4,5,11,12,18,26,29,31,32,33,35,37,40,47,50,51,54,63,70,71,79,80,4 5 11 12 18 26 29 31 32 33 35 37 40 47 50 51 54 63 70 71 79 80
2017,816,5,7,16,18,21,23,24,25,26,29,30,34,35,41,45,47,62,64,67,68,71,72,5 7 16 18 21 23 24 25 26 29 30 34 35 41 45 47 62 64 67 68 71 72
2017,817,1,2,5,6,7,8,9,21,22,25,30,34,35,37,38,44,46,48,57,66,67,75,1 2 5 6 7 8 9 21 22 25 30 34 35 37 38 44 46 48 57 66 67 75
2017,818,6,8,10,14,17,18,30,31,32,42,50,51,52,53,59,60,65,67,72,73,76,79,6 8 10 14 17 18 30 31 32 42 50 51 52 53 59 60 65 67 72 73 76 79
2017,819,2,13,14,17,19,27,30,33,37,42,45,52,53,55,57,60,65,70,72,75,77,80,2 13 14 17 19 27 30 33 37 42 45 52 53 55 57 60 65 70 72 75 77 80
2017,820,2,6,8,11,17,18,24,26,29,33,36,39,40,43,46,52,57,59,60,68,72,78,2 6 8 11 17 18 24 26 29 33 36 39 40 43 46 52 57 59 60 68 72 78
2017,821,4,7,8,12,15,18,24,27,33,35,46,48,52,53,56,59,60,71,73,76,77,80,4 7 8 12 15 18 24 27 33 35 46 48 52 53 56 59 60 71 73 76 77 80
2017,822,1,2,6,15,18,25,28,31,37,38,39,42,45,46,49,52,54,61,65,67,71,74,1 2 6 15 18 25 28 31 37 38 39 42 45 46 49 52 54 61 65 67 71 74
2017,823,5,7,12,14,20,23,28,32,42,43,45,46,47,48,50,59,60,65,66,71,72,77,5 7 12 14 20 23 28 32 42 43 45 46 47 48 50 59 60 65 66 71 72 77
2017,824,1,2,4,6,12,24,28,32,33,41,44,51,53,58,59,65,68,69,73,75,76,78,1 2 4 6 12 24 28 32 33 41 44 51 53 58 59 65 68 69 73 75 76 78
2017,825,11,21,23,25,35,41,43,44,45,46,47,48,49,50,53,57,64,67,68,72,75,78,11 21 23 25 35 41 43 44 45 46 47 48 49 50 53 57 64 67 68 72 75 78
2017,826,5,7,11,15,18,21,24,35,37,42,45,46,51,54,63,69,71,72,73,74,75,76,5 7 11 15 18 21 24 35 37 42 45 46 51 54 63 69 71 72 73 74 75 76
2017,827,3,8,13,14,18,19,23,28,34,36,41,44,46,49,54,57,63,71,75,77,78,80,3 8 13 14 18 19 23 28 34 36 41 44 46 49 54 57 63 71 75 77 78 80
2017,828,2,3,12,14,15,19,24,26,30,32,36,39,45,51,56,58,61,66,67,69,71,74,2 3 12 14 15 19 24 26 30 32 36 39 45 51 56 58 61 66 67 69 71 74
2017,829,2,5,6,8,12,13,14,16,18,21,22,23,31,44,45,48,56,64,68,71,73,77,2 5 6 8 12 13 14 16 18 21 22 23 31 44 45 48 56 64 68 71 73 77
2017,830,4,16,20,21,22,24,29,30,32,33,34,38,41,42,51,59,61,62,67,69,70,77,4 16 20 21 22 24 29 30 32 33 34 38 41 42 51 59 61 62 67 69 70 77
2017,831,7,14,21,23,25,31,32,37,38,43,44,46,52,53,61,62,69,71,73,75,76,80,7 14 21 23 25 31 32 37 38 43 44 46 52 53 61 62 69 71 73 75 76 80
2017,832,3,5,8,10,11,12,13,15,16,17,21,24,34,37,41,46,51,56,57,63,66,67,3 5 8 10 11 12 13 15 16 17 21 24 34 37 41 46 51 56 57 63 66 67
2017,833,3,4,7,9,10,28,32,37,42,44,49,51,52,54,59,62,65,72,73,76,77,80,3 4 7 9 10 28 32 37 42 44 49 51 52 54 59 62 65 72 73 76 77 80
2017,834,8,11,15,16,17,18,20,25,28,30,34,39,40,43,48,53,59,64,66,67,71,79,8 11 15 16 17 18 20 25 28 30 34 39 40 43 48 53 59 64 66 67 71 79
2017,835,1,4,6,7,8,9,10,17,19,23,24,27,36,40,45,47,53,55,62,68,72,75,1 4 6 7 8 9 10 17 19 23 24 27 36 40 45 47 53 55 62 68 72 75
2017,836,3,5,14,15,18,23,26,27,31,37,38,48,50,51,55,56,58,65,67,69,75,76,3 5 14 15 18 23 26 27 31 37 38 48 50 51 55 56 58 65 67 69 75 76
2017,837,5,8,10,11,20,27,29,30,32,33,34,35,42,49,50,51,63,64,65,66,77,79,5 8 10 11 20 27 29 30 32 33 34 35 42 49 50 51 63 64 65 66 77 79
2017,838,2,3,4,6,8,10,34,35,37,39,42,44,47,49,58,62,66,68,75,77,79,80,2 3 4 6 8 10 34 35 37 39 42 44 47 49 58 62 66 68 75 77 79 80
2017,839,4,5,6,9,10,14,15,18,21,28,36,42,47,48,51,52,53,54,62,65,67,72,4 5 6 9 10 14 15 18 21 28 36 42 47 48 51 52 53 54 62 65 67 72
2017,840,1,4,6,7,14,17,21,22,23,24,29,32,34,36,43,49,56,57,62,63,72,78,1 4 6 7 14 17 21 22 23 24 29 32 34 36 43 49 56 57 62 63 72 78
2017,841,2,3,11,13,18,19,26,29,34,38,43,44,51,53,54,59,60,64,65,69,72,79,2 3 11 13 18 19 26 29 34 38 43 44 51 53 54 59 60 64 65 69 72 79
2017,842,3,4,9,10,11,16,17,19,24,26,29,30,31,40,41,49,52,53,55,62,65,77,3 4 9 10 11 16 17 19 24 26 29 30 31 40 41 49 52 53 55 62 65 77
2017,843,1,2,3,21,27,29,30,42,43,45,51,52,53,54,55,63,64,71,72,73,74,78,1 2 3 21 27 29 30 42 43 45 51 52 53 54 55 63 64 71 72 73 74 78
2017,844,3,6,16,17,22,26,29,30,34,35,36,51,53,54,55,58,60,68,74,76,77,79,3 6 16 17 22 26 29 30 34 35 36 51 53 54 55 58 60 68 74 76 77 79
2017,845,1,8,14,24,25,35,41,46,47,48,49,50,51,53,54,59,60,65,67,73,77,78,1 8 14 24 25 35 41 46 47 48 49 50 51 53 54 59 60 65 67 73 77 78
2017,846,1,9,14,15,20,22,25,27,30,31,34,38,40,43,46,52,54,58,66,67,73,74,1 9 14 15 20 22 25 27 30 31 34 38 40 43 46 52 54 58 66 67 73 74
2017,847,1,8,10,22,26,27,35,38,39,44,45,46,48,53,58,60,61,67,70,73,77,79,1 8 10 22 26 27 35 38 39 44 45 46 48 53 58 60 61 67 70 73 77 79
2017,848,1,2,5,18,22,24,26,33,35,42,47,49,51,52,54,57,60,62,70,72,75,80,1 2 5 18 22 24 26 33 35 42 47 49 51 52 54 57 60 62 70 72 75 80
2017,849,7,13,20,23,29,32,34,38,41,42,44,46,53,59,62,63,69,70,74,76,77,79,7 13 20 23 29 32 34 38 41 42 44 46 53 59 62 63 69 70 74 76 77 79
2017,850,4,8,12,14,16,17,19,23,31,32,35,36,37,38,41,42,51,54,57,63,64,73,4 8 12 14 16 17 19 23 31 32 35 36 37 38 41 42 51 54 57 63 64 73
2017,851,5,8,11,12,17,19,23,26,31,33,36,40,45,50,55,56,59,66,69,72,78,79,5 8 11 12 17 19 23 26 31 33 36 40 45 50 55 56 59 66 69 72 78 79
2017,852,2,7,11,18,20,21,22,23,27,30,34,38,39,47,48,51,52,61,63,66,77,78,2 7 11 18 20 21 22 23 27 30 34 38 39 47 48 51 52 61 63 66 77 78
2017,853,3,5,6,11,20,21,23,30,31,37,43,46,47,51,52,55,59,65,67,72,77,80,3 5 6 11 20 21 23 30 31 37 43 46 47 51 52 55 59 65 67 72 77 80
2017,854,6,9,15,19,21,23,24,27,33,35,44,46,48,50,62,65,67,70,71,72,75,80,6 9 15 19 21 23 24 27 33 35 44 46 48 50 62 65 67 70 71 72 75 80
2017,855,11,16,28,29,31,36,38,39,40,41,42,47,48,50,55,57,59,68,70,73,75,80,11 16 28 29 31 36 38 39 40 41 42 47 48 50 55 57 59 68 70 73 75 80
2017,856,1,2,3,4,11,16,18,20,25,32,34,37,39,43,47,56,61,70,72,73,77,80,1 2 3 4 11 16 18 20 25 32 34 37 39 43 47 56 61 70 72 73 77 80
2018,857,11,12,15,17,18,24,29,30,34,35,37,47,48,51,52,54,57,68,69,71,72,77,11 12 15 17 18 24 29 30 34 35 37 47 48 51 52 54 57 68 69 71 72 77
2018,858,4,5,7,11,16,17,19,23,25,26,30,34,40,41,43,46,65,70,72,76,78,79,4 5 7 11 16 17 19 23 25 26 30 34 40 41 43 46 65 70 72 76 78 79
2018,859,3,4,14,16,22,24,31,35,39,40,41,43,45,49,51,56,61,72,73,77,79,80,3 4 14 16 22 24 31 35 39 40 41 43 45 49 51 56 61 72 73 77 79 80
2018,860,2,4,5,8,10,19,23,33,34,36,45,48,49,53,54,58,59,61,62,69,78,79,2 4 5 8 10 19 23 33 34 36 45 48 49 53 54 58 59 61 62 69 78 79
2018,861,2,3,6,8,10,17,25,27,37,39,42,45,46,52,53,57,61,63,66,70,75,78,2 3 6 8 10 17 25 27 37 39 42 45 46 52 53 57 61 63 66 70 75 78
2018,862,1,5,7,13,16,17,25,27,29,30,37,39,40,42,45,62,67,68,69,74,75,78,1 5 7 13 16 17 25 27 29 30 37 39 40 42 45 62 67 68 69 74 75 78
2018,863,8,9,13,15,17,18,19,27,30,31,36,39,42,45,47,56,59,61,64,76,77,80,8 9 13 15 17 18 19 27 30 31 36 39 42 45 47 56 59 61 64 76 77 80
2018,864,1,3,4,11,14,18,20,23,28,29,33,34,42,45,47,50,59,64,66,71,77,80,1 3 4 11 14 18 20 23 28 29 33 34 42 45 47 50 59 64 66 71 77 80
2018,865,1,9,10,13,14,20,24,27,28,36,39,42,45,48,51,56,58,63,70,72,73,75,1 9 10 13 14 20 24 27 28 36 39 42 45 48 51 56 58 63 70 72 73 75
2018,866,4,12,20,24,26,27,29,31,35,38,39,41,53,56,58,59,63,69,70,74,76,80,4 12 20 24 26 27 29 31 35 38 39 41 53 56 58 59 63 69 70 74 76 80
2018,867,2,4,6,7,9,11,14,16,19,27,34,41,46,51,55,62,65,66,68,69,75,77,2 4 6 7 9 11 14 16 19 27 34 41 46 51 55 62 65 66 68 69 75 77
2018,868,1,2,4,9,10,11,16,22,25,31,51,59,62,63,67,69,71,73,74,75,76,79,1 2 4 9 10 11 16 22 25 31 51 59 62 63 67 69 71 73 74 75 76 79
2018,869,4,5,10,15,16,22,31,36,38,42,43,48,59,61,62,64,65,70,73,74,79,80,4 5 10 15 16 22 31 36 38 42 43 48 59 61 62 64 65 70 73 74 79 80
2018,870,1,3,6,7,12,18,22,23,25,26,30,33,37,41,47,49,53,55,63,66,71,73,1 3 6 7 12 18 22 23 25 26 30 33 37 41 47 49 53 55 63 66 71 73
2018,871,1,2,6,8,11,12,14,23,26,27,29,34,36,41,42,51,54,58,67,69,77,79,1 2 6 8 11 12 14 23 26 27 29 34 36 41 42 51 54 58 67 69 77 79
2018,872,3,4,10,11,12,17,20,22,23,29,34,35,41,50,51,55,56,60,62,67,70,77,3 4 10 11 12 17 20 22 23 29 34 35 41 50 51 55 56 60 62 67 70 77
2018,873,11,16,20,21,22,28,30,33,34,37,43,50,55,57,59,61,62,63,68,73,78,79,11 16 20 21 22 28 30 33 34 37 43 50 55 57 59 61 62 63 68 73 78 79
2018,874,7,8,12,14,15,18,23,30,32,40,41,42,47,57,60,61,63,68,69,70,71,75,7 8 12 14 15 18 23 30 32 40 41 42 47 57 60 61 63 68 69 70 71 75
2018,875,2,3,4,12,22,24,25,28,30,31,34,43,44,47,51,53,55,57,58,61,66,71,2 3 4 12 22 24 25 28 30 31 34 43 44 47 51 53 55 57 58 61 66 71
2018,876,2,7,8,9,11,21,27,29,33,38,39,41,42,46,50,55,63,70,72,76,77,79,2 7 8 9 11 21 27 29 33 38 39 41 42 46 50 55 63 70 72 76 77 79
2018,877,1,2,5,7,8,10,18,19,21,24,28,30,35,41,42,49,62,67,70,74,75,80,1 2 5 7 8 10 18 19 21 24 28 30 35 41 42 49 62 67 70 74 75 80
2018,878,1,2,3,7,10,13,16,21,29,31,33,34,43,50,53,54,59,65,66,67,70,79,1 2 3 7 10 13 16 21 29 31 33 34 43 50 53 54 59 65 66 67 70 79
2018,879,2,4,14,16,17,19,20,24,30,32,33,37,43,45,47,52,57,61,62,65,66,77,2 4 14 16 17 19 20 24 30 32 33 37 43 45 47 52 57 61 62 65 66 77
2018,880,2,5,17,19,20,21,30,40,41,43,45,46,49,51,52,65,70,76,77,78,79,80,2 5 17 19 20 21 30 40 41 43 45 46 49 51 52 65 70 76 77 78 79 80
2018,881,5,11,17,18,23,25,26,27,30,31,34,36,37,39,44,46,48,49,63,68,74,79,5 11 17 18 23 25 26 27 30 31 34 36 37 39 44 46 48 49 63 68 74 79
2018,882,1,4,18,19,20,21,26,27,28,30,32,37,41,42,49,54,58,64,69,76,78,80,1 4 18 19 20 21 26 27 28 30 32 37 41 42 49 54 58 64 69 76 78 80
2018,883,1,2,6,9,10,12,15,23,30,32,44,46,47,52,61,69,72,75,76,78,79,80,1 2 6 9 10 12 15 23 30 32 44 46 47 52 61 69 72 75 76 78 79 80
2018,884,1,10,13,14,17,21,22,25,26,30,32,41,43,45,52,53,57,59,61,71,73,76,1 10 13 14 17 21 22 25 26 30 32 41 43 45 52 53 57 59 61 71 73 76
2018,885,2,14,18,19,22,24,25,27,33,36,38,39,43,46,49,50,51,56,71,74,77,78,2 14 18 19 22 24 25 27 33 36 38 39 43 46 49 50 51 56 71 74 77 78
2018,886,3,4,5,6,7,8,11,13,23,26,35,36,42,46,49,52,53,54,56,60,61,76,3 4 5 6 7 8 11 13 23 26 35 36 42 46 49 52 53 54 56 60 61 76
2018,887,4,5,6,8,11,15,19,20,29,30,32,35,37,51,52,53,57,59,62,72,73,77,4 5 6 8 11 15 19 20 29 30 32 35 37 51 52 53 57 59 62 72 73 77
2018,888,6,8,12,13,14,20,22,30,33,45,46,55,61,63,66,70,71,76,77,78,79,80,6 8 12 13 14 20 22 30 33 45 46 55 61 63 66 70 71 76 77 78 79 80
2018,889,3,7,10,12,17,20,22,26,28,35,38,42,45,49,50,61,62,70,72,74,77,78,3 7 10 12 17 20 22 26 28 35 38 42 45 49 50 61 62 70 72 74 77 78
2018,890,5,6,9,11,13,18,23,27,35,36,38,42,44,47,62,69,70,71,73,74,77,79,5 6 9 11 13 18 23 27 35 36 38 42 44 47 62 69 70 71 73 74 77 79
2018,891,3,5,6,9,10,12,15,16,18,22,26,36,42,44,46,49,59,61,71,72,73,76,3 5 6 9 10 12 15 16 18 22 26 36 42 44 46 49 59 61 71 72 73 76
2018,892,2,9,10,11,16,19,20,23,28,30,31,39,43,45,50,53,54,62,69,72,73,78,2 9 10 11 16 19 20 23 28 30 31 39 43 45 50 53 54 62 69 72 73 78
2018,893,4,6,11,15,26,29,32,35,44,45,47,52,56,58,61,63,65,71,72,74,76,77,4 6 11 15 26 29 32 35 44 45 47 52 56 58 61 63 65 71 72 74 76 77
2018,894,4,5,6,7,11,12,18,19,21,26,32,42,43,50,51,58,59,66,68,71,77,80,4 5 6 7 11 12 18 19 21 26 32 42 43 50 51 58 59 66 68 71 77 80
