date,draw_no,n1,n2,n3,n4,n5,n6,joker,super,numbers,bonus
2018-09-05,1146,6,7,9,14,26,35,,,6 7 9 14 26 35,
2018-09-08,1147,16,19,23,30,31,44,,,16 19 23 30 31 44,
2018-09-12,1148,3,26,31,34,44,48,,,3 26 31 34 44 48,
2018-09-15,1149,4,20,25,30,43,44,,,4 20 25 30 43 44,
2018-09-19,1150,10,32,33,37,43,48,,,10 32 33 37 43 48,
2018-09-22,1151,1,4,12,27,46,49,,,1 4 12 27 46 49,
2018-09-26,1152,2,15,18,37,47,48,,,2 15 18 37 47 48,
2018-09-29,1153,2,3,13,25,29,32,,,2 3 13 25 29 32,
2018-10-03,1154,2,5,12,14,22,38,,,2 5 12 14 22 38,
2018-10-06,1155,1,5,25,35,47,48,,,1 5 25 35 47 48,
2018-10-10,1156,3,12,30,41,43,48,,,3 12 30 41 43 48,
2018-10-13,1157,18,19,28,30,36,39,,,18 19 28 30 36 39,
2018-10-17,1158,5,17,26,27,30,38,,,5 17 26 27 30 38,
2018-10-20,1159,8,25,29,31,41,47,,,8 25 29 31 41 47,
2018-10-24,1160,1,8,15,22,28,34,,,1 8 15 22 28 34,
2018-10-27,1161,4,9,22,28,29,47,,,4 9 22 28 29 47,
2018-10-31,1162,23,29,34,37,38,45,,,23 29 34 37 38 45,
2018-11-03,1163,1,23,27,28,39,48,,,1 23 27 28 39 48,
2018-11-07,1164,13,17,22,23,28,46,,,13 17 22 23 28 46,
2018-11-10,1165,9,15,18,28,29,46,,,9 15 18 28 29 46,
2018-11-14,1166,5,8,14,17,45,46,,,5 8 14 17 45 46,
2018-11-17,1167,6,30,34,36,41,46,,,6 30 34 36 41 46,
2018-11-21,1168,22,30,31,36,39,49,,,22 30 31 36 39 49,
2018-11-24,1169,1,11,14,20,30,44,,,1 11 14 20 30 44,
2018-11-28,1170,9,21,30,33,39,42,,,9 21 30 33 39 42,
2018-12-01,1171,6,17,20,31,32,47,,,6 17 20 31 32 47,
2018-12-05,1172,16,18,23,24,37,47,,,16 18 23 24 37 47,
2018-12-08,1173,1,5,7,14,46,47,,,1 5 7 14 46 47,
2018-12-12,1174,25,33,36,45,47,48,,,25 33 36 45 47 48,
2018-12-15,1175,18,25,29,30,32,44,,,18 25 29 30 32 44,
2018-12-19,1176,4,18,22,23,35,45,,,4 18 22 23 35 45,
2018-12-22,1177,4,8,9,26,40,48,,,4 8 9 26 40 48,
2018-12-26,1178,19,31,33,40,42,48,,,19 31 33 40 42 48,
2018-12-29,1179,12,29,32,34,46,49,,,12 29 32 34 46 49,
2019-01-02,1180,2,4,15,29,31,45,,,2 4 15 29 31 45,
2019-01-05,1181,2,20,29,38,46,47,,,2 20 29 38 46 47,
2019-01-09,1182,13,32,33,42,43,47,,,13 32 33 42 43 47,
2019-01-12,1183,5,17,21,24,29,40,,,5 17 21 24 29 40,
2019-01-16,1184,4,10,16,23,48,49,,,4 10 16 23 48 49,
2019-01-19,1185,8,20,24,25,28,37,,,8 20 24 25 28 37,
2019-01-23,1186,14,15,18,34,38,45,,,14 15 18 34 38 45,
2019-01-26,1187,13,19,32,42,47,48,,,13 19 32 42 47 48,
2019-01-30,1188,3,8,9,11,19,44,,,3 8 9 11 19 44,
2019-02-02,1189,5,6,17,21,27,41,,,5 6 17 21 27 41,
2019-02-06,1190,2,5,8,13,16,35,,,2 5 8 13 16 35,
2019-02-09,1191,3,13,32,44,46,49,,,3 13 32 44 46 49,
2019-02-13,1192,1,18,21,24,48,49,,,1 18 21 24 48 49,
2019-02-16,1193,7,11,22,30,37,44,,,7 11 22 30 37 44,
2019-02-20,1194,5,7,27,31,32,45,,,5 7 27 31 32 45,
2019-02-23,1195,17,27,40,43,46,47,,,17 27 40 43 46 47,
2019-02-27,1196,3,5,9,10,14,23,,,3 5 9 10 14 23,
2019-03-02,1197,3,13,15,16,20,46,,,3 13 15 16 20 46,
2019-03-06,1198,6,10,20,22,30,48,,,6 10 20 22 30 48,
2019-03-09,1199,8,18,29,43,45,49,,,8 18 29 43 45 49,
2019-03-13,1200,14,23,32,36,38,43,,,14 23 32 36 38 43,
2019-03-16,1201,5,11,27,31,41,42,,,5 11 27 31 41 42,
2019-03-20,1202,1,5,22,26,40,49,,,1 5 22 26 40 49,
2019-03-23,1203,1,9,15,18,41,47,,,1 9 15 18 41 47,
2019-03-27,1204,3,9,20,35,38,44,,,3 9 20 35 38 44,
2019-03-30,1205,22,27,36,38,40,42,,,22 27 36 38 40 42,
2019-04-03,1206,1,3,13,34,35,48,,,1 3 13 34 35 48,
2019-04-06,1207,4,12,17,42,43,45,,,4 12 17 42 43 45,
2019-04-10,1208,19,20,22,31,40,47,,,19 20 22 31 40 47,
2019-04-13,1209,5,10,22,42,45,49,,,5 10 22 42 45 49,
2019-04-17,1210,3,10,18,23,24,42,,,3 10 18 23 24 42,
2019-04-20,1211,7,26,30,36,43,49,,,7 26 30 36 43 49,
2019-04-24,1212,3,17,23,39,41,47,,,3 17 23 39 41 47,
2019-04-27,1213,3,7,11,21,34,44,,,3 7 11 21 34 44,
2019-05-01,1214,6,11,18,20,25,33,,,6 11 18 20 25 33,
2019-05-04,1215,5,15,24,28,33,36,,,5 15 24 28 33 36,
2019-05-08,1216,8,13,15,31,32,37,,,8 13 15 31 32 37,
2019-05-11,1217,5,12,16,25,27,44,,,5 12 16 25 27 44,
2019-05-15,1218,3,10,29,33,41,48,,,3 10 29 33 41 48,
2019-05-18,1219,16,21,26,42,45,48,,,16 21 26 42 45 48,
2019-05-22,1220,12,18,19,20,21,26,,,12 18 19 20 21 26,
2019-05-25,1221,6,11,16,21,38,39,,,6 11 16 21 38 39,
2019-05-29,1222,4,8,13,19,27,41,,,4 8 13 19 27 41,
2019-06-01,1223,1,9,22,27,39,40,,,1 9 22 27 39 40,
2019-06-05,1224,1,9,14,18,22,23,,,1 9 14 18 22 23,
2019-06-08,1225,7,10,13,17,45,46,,,7 10 13 17 45 46,
2019-06-12,1226,3,12,18,31,33,43,,,3 12 18 31 33 43,
2019-06-15,1227,1,3,25,29,40,43,,,1 3 25 29 40 43,
2019-06-19,1228,7,34,36,38,42,48,,,7 34 36 38 42 48,
2019-06-22,1229,11,14,17,27,38,41,,,11 14 17 27 38 41,
2019-06-26,1230,9,14,22,24,42,48,,,9 14 22 24 42 48,
2019-06-29,1231,1,6,14,24,26,40,,,1 6 14 24 26 40,
2019-07-03,1232,13,15,17,29,38,39,,,13 15 17 29 38 39,
2019-07-06,1233,4,7,14,23,27,42,,,4 7 14 23 27 42,
2019-07-10,1234,5,14,24,37,44,49,,,5 14 24 37 44 49,
2019-07-13,1235,6,10,12,21,26,27,,,6 10 12 21 26 27,
2019-07-17,1236,6,15,25,27,36,44,,,6 15 25 27 36 44,
2019-07-20,1237,6,13,21,24,36,48,,,6 13 21 24 36 48,
2019-07-24,1238,8,12,20,21,37,46,,,8 12 20 21 37 46,
2019-07-27,1239,5,18,19,20,29,46,,,5 18 19 20 29 46,
2019-07-31,1240,7,19,20,26,30,37,,,7 19 20 26 30 37,
2019-08-03,1241,2,7,8,37,40,44,,,2 7 8 37 40 44,
2019-08-07,1242,11,16,24,33,38,49,,,11 16 24 33 38 49,
2019-08-10,1243,8,11,12,41,45,49,,,8 11 12 41 45 49,
2019-08-14,1244,1,34,35,36,37,38,,,1 34 35 36 37 38,
2019-08-17,1245,4,6,17,39,41,42,,,4 6 17 39 41 42,
2019-08-21,1246,17,18,29,30,32,34,,,17 18 29 30 32 34,
2019-08-24,1247,1,8,21,23,25,28,,,1 8 21 23 25 28,
2019-08-28,1248,7,9,16,28,35,47,,,7 9 16 28 35 47,
2019-08-31,1249,7,17,22,36,43,44,,,7 17 22 36 43 44,
2019-09-04,1250,5,7,25,28,42,47,,,5 7 25 28 42 47,
2019-09-07,1251,3,4,11,15,16,30,,,3 4 11 15 16 30,
2019-09-11,1252,3,14,35,37,39,40,,,3 14 35 37 39 40,
2019-09-14,1253,1,6,12,15,19,26,,,1 6 12 15 19 26,
2019-09-18,1254,9,11,15,27,30,49,,,9 11 15 27 30 49,
2019-09-21,1255,2,6,7,23,37,40,,,2 6 7 23 37 40,
2019-09-25,1256,4,6,10,13,26,39,,,4 6 10 13 26 39,
2019-09-28,1257,3,13,15,17,28,32,,,3 13 15 17 28 32,
2019-10-02,1258,16,17,31,33,34,42,,,16 17 31 33 34 42,
2019-10-05,1259,6,19,23,24,27,34,,,6 19 23 24 27 34,
2019-10-09,1260,4,22,30,37,42,46,,,4 22 30 37 42 46,
2019-10-12,1261,5,6,21,27,37,46,,,5 6 21 27 37 46,
